Zone comune,Zone comune.1
,
Zone – VedutaVeduta del centro di Zone,Zone – VedutaVeduta del centro di Zone
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Marco Antonio Zatti (lista civica) dall'8-6-2009
Territorio,Territorio
Coordinate,45°46′N 10°07′E
Altitudine,684 m s.l.m.
Superficie,"19,68 km²"
Abitanti,1 043[1] (30-11-2025)
Densità,53 ab./km²
Frazioni,"Cislano, Cusato Sant'Antonio"
Comuni confinanti,"Marcheno, Marone, Pisogne, Tavernole sul Mella"
Altre informazioni,Altre informazioni
Cod. postale,25050
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017205
Cod. catastale,M188
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 251 GG[3]"
Nome abitanti,zonesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Zone,Zone
Zone – MappaPosizione del comune di Zone nella provincia di Brescia,Zone – MappaPosizione del comune di Zone nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
