Pertica Bassa comune,Pertica Bassa comune.1
,
Pertica Bassa – Veduta,Pertica Bassa – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Manuel Nicola Bacchetti (lista civica) dall'8-6-2009
Territorio,Territorio
Coordinate,45°45′N 10°22′E
Altitudine,511 m s.l.m.
Superficie,"30,13 km²"
Abitanti,542[1] (30-11-2025)
Densità,"17,99 ab./km²"
Frazioni,"Avenone, Forno d'Ono (sede comunale), Levrange, Ono Degno, loc. Molino"
Comuni confinanti,"Collio, Lavenone, Marmentino, Pertica Alta, Vestone"
Altre informazioni,Altre informazioni
Cod. postale,25070
Prefisso,0365
Fuso orario,UTC+1
Codice ISTAT,017140
Cod. catastale,G475
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 940 GG[3]"
Nome abitanti,perticaroli
Cartografia,Cartografia
Pertica Bassa,Pertica Bassa
Pertica Bassa – MappaPosizione del comune di Pertica Bassa nella provincia di Brescia,Pertica Bassa – MappaPosizione del comune di Pertica Bassa nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
