Lonato del Garda comune,Lonato del Garda comune.1
,
Lonato del Garda – VedutaVeduta del centro storico,Lonato del Garda – VedutaVeduta del centro storico
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Roberto Tardani (centro-destra) dal 15-6-2015 (2º mandato dal 22-9-2020)
Territorio,Territorio
Coordinate,45°27′56.52″N 10°28′29.64″E
Altitudine,188 m s.l.m.
Superficie,"68,2 km²"
Abitanti,17 142[1] (30-11-2025)
Densità,"251,35 ab./km²"
Comuni confinanti,"Bedizzole, Calcinato, Calvagese della Riviera, Castiglione delle Stiviere (MN), Cavriana (MN), Desenzano del Garda, Padenghe sul Garda, Pozzolengo, Solferino (MN)"
Altre informazioni,Altre informazioni
Cod. postale,25017
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017092
Cod. catastale,M312 (E667 fino al 2-8-2009)
Targa,BS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 399 GG[3]"
Nome abitanti,lonatesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Lonato del Garda,Lonato del Garda
Lonato del Garda – MappaPosizione del comune di Lonato del Garda nella provincia di Brescia,Lonato del Garda – MappaPosizione del comune di Lonato del Garda nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
