Limone sul Garda comune,Limone sul Garda comune.1
,
Limone sul Garda – VedutaVeduta,Limone sul Garda – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Franceschino Risatti (lista civica “Per Limone sul Garda”) dal 10-6-2024
Territorio,Territorio
Coordinate,45°49′N 10°47′E
Altitudine,65 m s.l.m.
Superficie,"23,03 km²"
Acque interne,"7,79 km² (33,83%)"
Abitanti,1 098[1] (30-11-2025)
Densità,"47,68 ab./km²"
Comuni confinanti,"Malcesine (VR), Ledro (TN), Riva del Garda (TN), Tremosine sul Garda"
Altre informazioni,Altre informazioni
Cod. postale,25010
Prefisso,0365
Fuso orario,UTC+1
Codice ISTAT,017089
Cod. catastale,E596
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 176 GG[3]"
Nome abitanti,limonesi
Giorno festivo,11 luglio
Cartografia,Cartografia
Limone sul Garda,Limone sul Garda
Limone sul Garda – MappaPosizione del comune di Limone sul Garda nella provincia di Brescia,Limone sul Garda – MappaPosizione del comune di Limone sul Garda nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
