Pompiano comune,Pompiano comune.1
,
Pompiano – Veduta,Pompiano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Giancarlo Comincini (centro-destra) dal 27-5-2019 (secondo mandato)
Territorio,Territorio
Coordinate,45°25′55.12″N 9°59′21.35″E
Altitudine,93 m s.l.m.
Superficie,"15,27 km²"
Abitanti,3 767[1] (30-11-2025)
Densità,"246,69 ab./km²"
Frazioni,"Gerolanuova, Zurlengo"
Comuni confinanti,"Barbariga, Comezzano-Cizzago, Corzano, Orzinuovi, Orzivecchi"
Altre informazioni,Altre informazioni
Cod. postale,25030
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017146
Cod. catastale,G815
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 410 GG[3]"
Nome abitanti,pompianesi
Patrono,sant'Andrea
Giorno festivo,30 novembre
Cartografia,Cartografia
Pompiano,Pompiano
Pompiano – MappaPosizione del comune di Pompiano nella provincia di Brescia,Pompiano – MappaPosizione del comune di Pompiano nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
