Preseglie comune,Preseglie comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Cammarata Luca (lista civica “Progetto Preseglie”) dal 10-6-2024
Territorio,Territorio
Coordinate,45°40′N 10°24′E
Altitudine,391 m s.l.m.
Superficie,"11,45 km²"
Abitanti,1 474[1] (30-11-2025)
Densità,"128,73 ab./km²"
Frazioni,"Ardessà, Gazzane, Macenago, Piazza, Quintilago, Sottocastello, Zernago"
Comuni confinanti,"Agnosine, Barghe, Bione, Odolo, Sabbio Chiese, Vestone"
Altre informazioni,Altre informazioni
Cod. postale,25070
Prefisso,0365
Fuso orario,UTC+1
Codice ISTAT,017153
Cod. catastale,H043
Targa,BS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 771 GG[3]"
Nome abitanti,presegliesi
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Preseglie,Preseglie
Preseglie – MappaPosizione del comune di Preseglie nella provincia di Brescia,Preseglie – MappaPosizione del comune di Preseglie nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
