Corte Franca comune,Corte Franca comune.1
,
Corte Franca – VedutaVista sull'antico borgo di Zenighe e sulla chiesetta di Santa Maria,Corte Franca – VedutaVista sull'antico borgo di Zenighe e sulla chiesetta di Santa Maria
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Anna Becchetti (lista civica) dal 22-9-2020
Data di istituzione,1928
Territorio,Territorio
Coordinate,45°38′N 9°59′E
Altitudine,220 m s.l.m.
Superficie,"13,97 km²"
Abitanti,7 147[1] (30-11-2025)
Densità,"511,6 ab./km²"
Frazioni,"Borgonato, Colombaro, Nigoline Bonomelli, Timoline (sede comunale)"
Comuni confinanti,"Adro, Cazzago San Martino, Iseo, Passirano, Provaglio d'Iseo, Capriolo (Italia)"
Altre informazioni,Altre informazioni
Cod. postale,25040
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017062
Cod. catastale,D058
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 537 GG[3]"
Nome abitanti,cortefranchesi
Patrono,santi Cosma e Damiano
Giorno festivo,26 settembre
Cartografia,Cartografia
Corte Franca,Corte Franca
Corte Franca – MappaPosizione del comune di Corte Franca nella provincia di Brescia,Corte Franca – MappaPosizione del comune di Corte Franca nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
