Berzo Inferiore comune,Berzo Inferiore comune.1
,
Berzo Inferiore – Veduta,Berzo Inferiore – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Ruggero Bontempi (lista civica Insieme per Berzo) dal 27-5-2013 (3º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,45°55′54″N 10°16′50″E
Altitudine,356 m s.l.m.
Superficie,"21,92 km²"
Abitanti,2 516[1] (30-11-2025)
Densità,"114,78 ab./km²"
Comuni confinanti,"Bienno, Bovegno, Cividate Camuno, Esine"
Altre informazioni,Altre informazioni
Cod. postale,25040
Prefisso,0364
Fuso orario,UTC+1
Codice ISTAT,017017
Cod. catastale,A817
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 718 GG[3]"
Nome abitanti,berzesi
Patrono,"Beato Innocenzo da Berzo, Madonna Pellegrina"
Giorno festivo,"3 marzo, 24 settembre"
Cartografia,Cartografia
Berzo Inferiore,Berzo Inferiore
Berzo Inferiore – MappaPosizione del comune di Berzo Inferiore nella provincia di Brescia,Berzo Inferiore – MappaPosizione del comune di Berzo Inferiore nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
