Vione comune,Vione comune.1
,
Vione – Veduta,Vione – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Stefano Tomasi (lista civica “Vivere Insieme 2024-2029”) dal 10-6-2024
Territorio,Territorio
Coordinate,46°14′53.09″N 10°26′54.31″E
Altitudine,1 250 m s.l.m.
Superficie,"35,27 km²"
Abitanti,622[1] (30-11-2025)
Densità,"17,64 ab./km²"
Frazioni,"Canè, Stadolina"
Comuni confinanti,"Edolo, Ponte di Legno, Temù, Vezza d'Oglio"
Altre informazioni,Altre informazioni
Cod. postale,25050
Prefisso,0364
Fuso orario,UTC+1
Codice ISTAT,017202
Cod. catastale,M065
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 997 GG[3]"
Nome abitanti,vionesi
Patrono,San Remigio
Giorno festivo,Seconda domenica di settembre
Cartografia,Cartografia
Vione,Vione
Vione – MappaPosizione del comune di Vione nella provincia di Brescia,Vione – MappaPosizione del comune di Vione nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
