Edolo comune,Edolo comune.1
,
Edolo – VedutaPanorama di Edolo da Sonico,Edolo – VedutaPanorama di Edolo da Sonico
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Luca Masneri (lista civica) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,46°10′44″N 10°19′48″E
Altitudine,720 m s.l.m.
Superficie,"88,9 km²"
Abitanti,4 445[1] (30-11-2025)
Densità,50 ab./km²
Frazioni,"Cortenedolo, Mù, Vico"
Comuni confinanti,"Corteno Golgi, Incudine, Lovero (SO), Malonno, Monno, Ponte di Legno, Saviore dell'Adamello, Sernio (SO), Sonico, Temù, Tovo di Sant'Agata (SO), Vezza d'Oglio, Vione"
Altre informazioni,Altre informazioni
Cod. postale,25048
Prefisso,0364
Fuso orario,UTC+1
Codice ISTAT,017068
Cod. catastale,D391
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 209 GG[3]"
Nome abitanti,edolesi
Patrono,santa Maria nascente
Giorno festivo,8 settembre
Cartografia,Cartografia
Edolo,Edolo
Edolo – MappaPosizione del comune di Edolo nella provincia di Brescia,Edolo – MappaPosizione del comune di Edolo nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
