Sale Marasino comune,Sale Marasino comune.1
,
Sale Marasino – VedutaSale Marasino visto da Montisola,Sale Marasino – VedutaSale Marasino visto da Montisola
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Chiara Turelli (lista civica “Sale Marasino futura”) dal 10-6-2024
Territorio,Territorio
Coordinate,45°43′N 10°07′E
Altitudine,200 m s.l.m.
Superficie,"16,59 km²"
Acque interne,"7,26 km² (43,76%)"
Abitanti,3 239[1] (30-11-2025)
Densità,"195,24 ab./km²"
Comuni confinanti,"Gardone Val Trompia, Marone, Monte Isola, Polaveno, Sulzano"
Altre informazioni,Altre informazioni
Cod. postale,25057
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017169
Cod. catastale,H699
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 497 GG[3]"
Nome abitanti,salesi
Cartografia,Cartografia
Sale Marasino,Sale Marasino
Sale Marasino – MappaPosizione del comune di Sale Marasino nella provincia di Brescia,Sale Marasino – MappaPosizione del comune di Sale Marasino nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
