Niardo comune,Niardo comune.1
,
Niardo – VedutaPanorama di Niardo,Niardo – VedutaPanorama di Niardo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Ivan Markus (lista civica “Niardo con voi”) dal 10-6-2024
Territorio,Territorio
Coordinate,45°58′36″N 10°20′03″E
Altitudine,443 m s.l.m.
Superficie,"22,16 km²"
Abitanti,1 955[1] (30-11-2025)
Densità,"88,22 ab./km²"
Frazioni,"Crist, Gera Bassa"
Comuni confinanti,"Braone, Breno, Losine"
Altre informazioni,Altre informazioni
Cod. postale,25050
Prefisso,0364
Fuso orario,UTC+1
Codice ISTAT,017118
Cod. catastale,F884
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 843 GG[3]"
Nome abitanti,niardesi
Patrono,sant'Obizio
Giorno festivo,prima domenica di maggio
Cartografia,Cartografia
Niardo,Niardo
Niardo – MappaPosizione del comune di Niardo nella provincia di Brescia,Niardo – MappaPosizione del comune di Niardo nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
