Ossimo comune,Ossimo comune.1
,
Ossimo – Veduta,Ossimo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Cristian Farisé[1] (centro-sinistra[2]) dal 16-5-2011
Territorio,Territorio
Coordinate,45°56′49″N 10°13′53″E
Altitudine,869 m s.l.m.
Superficie,"14,86 km²"
Abitanti,1 436[3] (30-11-2025)
Densità,"96,64 ab./km²"
Comuni confinanti,"Borno, Cividate Camuno, Lozio, Malegno, Piancogno, Schilpario (BG)"
Altre informazioni,Altre informazioni
Cod. postale,25050
Prefisso,0364
Fuso orario,UTC+1
Codice ISTAT,017128
Cod. catastale,G179
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona F, 3 452 GG[5]"
Nome abitanti,ossimesi
Patrono,santi Cosma e Damiano (Ossimo Inferiore) santi Gervasio e Protasio (Ossimo Superiore)
Giorno festivo,26 settembre 19 giugno
Cartografia,Cartografia
Ossimo,Ossimo
Ossimo – MappaPosizione del comune di Ossimo nella provincia di Brescia,Ossimo – MappaPosizione del comune di Ossimo nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
