Capovalle comune,Capovalle comune.1
,
Capovalle – VedutaVeduta di Capovalle,Capovalle – VedutaVeduta di Capovalle
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Giordano Ferraroni (lista civica “Tutti per Capovalle”) dal 10-6-2024
Territorio,Territorio
Coordinate,45°45′15.97″N 10°32′40.88″E
Altitudine,1 000 m s.l.m.
Superficie,"22,95 km²"
Abitanti,334[1] (30-11-2025)
Densità,"14,55 ab./km²"
Frazioni,"Vico, Viè, Zumiè"
Comuni confinanti,"Gargnano, Idro, Treviso Bresciano, Valvestino, Vobarno"
Altre informazioni,Altre informazioni
Cod. postale,25070
Prefisso,0365
Fuso orario,UTC+1
Codice ISTAT,017036
Cod. catastale,B676
Targa,BS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona F, 3 544 GG[3]"
Nome abitanti,capovallesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Capovalle,Capovalle
Capovalle – MappaPosizione del comune di Capovalle nella provincia di Brescia,Capovalle – MappaPosizione del comune di Capovalle nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
