Moniga del Garda comune,Moniga del Garda comune.1
,
Moniga del Garda – Veduta,Moniga del Garda – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Renato Marcoli (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,45°31′37″N 10°32′20″E
Altitudine,105 m s.l.m.
Superficie,"14,65 km²"
Abitanti,2 678[1] (30-11-2025)
Densità,"182,8 ab./km²"
Comuni confinanti,"Manerba del Garda, Padenghe sul Garda, Soiano del Lago"
Altre informazioni,Altre informazioni
Cod. postale,25080
Prefisso,0365
Fuso orario,UTC+1
Codice ISTAT,017109
Cod. catastale,F373
Targa,BS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 229 GG[3]"
Nome abitanti,Monighesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Moniga del Garda,Moniga del Garda
Moniga del Garda – MappaPosizione del comune di Moniga del Garda nella provincia di Brescia,Moniga del Garda – MappaPosizione del comune di Moniga del Garda nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
