Bovegno comune,Bovegno comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Manolo Rossini (Forza Italia-Lega Nord) dal 6-6-2016
Territorio,Territorio
Coordinate,45°47′N 10°16′E
Altitudine,680 m s.l.m.
Superficie,"47,99 km²"
Abitanti,1 996[1] (30-11-2025)
Densità,"41,59 ab./km²"
Frazioni,"Castello, Graticelle, Ludizzo, Magno, Piano, Predondo, Zigole, Forno, Savenone di sopra, Savenone di sotto"
Comuni confinanti,"Artogne, Berzo Inferiore, Bienno, Collio, Esine, Gianico, Irma, Marmentino, Pezzaze"
Altre informazioni,Altre informazioni
Cod. postale,25061
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017024
Cod. catastale,B100
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 187 GG[3]"
Nome abitanti,bovegnesi
Patrono,san Giorgio
Cartografia,Cartografia
Bovegno,Bovegno
Bovegno – MappaPosizione del comune di Bovegno nella provincia di Brescia,Bovegno – MappaPosizione del comune di Bovegno nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
