Chiari comune,Chiari comune.1
,
Chiari – VedutaVista aerea di Chiari,Chiari – VedutaVista aerea di Chiari
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Gabriele Zotti (centro-destra) dal 24-6-2024
Territorio,Territorio
Coordinate,45°31′38.09″N 9°55′02.48″E
Altitudine,138 m s.l.m.
Superficie,"37,96 km²"
Abitanti,19 695[1] (30-11-2025)
Densità,"518,84 ab./km²"
Frazioni,"Santellone, Monticelli, San Giovanni, San Bernardo"
Comuni confinanti,"Castelcovati, Castrezzato, Coccaglio, Cologne, Comezzano-Cizzago, Palazzolo sull'Oglio, Pontoglio, Roccafranca, Rudiano, Urago d'Oglio"
Altre informazioni,Altre informazioni
Cod. postale,25032
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017052
Cod. catastale,C618
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 251 GG[3]"
Nome abitanti,clarensi
Patrono,santi Faustino e Giovita
Giorno festivo,15 febbraio
Soprannome,La Città delle Quadre Medioevali
Cartografia,Cartografia
Chiari,Chiari
Chiari – MappaPosizione del comune di Chiari nella provincia di Brescia,Chiari – MappaPosizione del comune di Chiari nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
