Monno comune,Monno comune.1
,
Monno – Veduta,Monno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Romano Caldinelli (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,46°12′48″N 10°20′26″E
Altitudine,1 066 m s.l.m.
Superficie,"31,03 km²"
Abitanti,516[1] (30-11-2025)
Densità,"16,63 ab./km²"
Comuni confinanti,"Edolo, Grosio (SO), Grosotto (SO), Incudine, Mazzo di Valtellina (SO), Tovo di Sant'Agata (SO), Vezza d'Oglio"
Altre informazioni,Altre informazioni
Cod. postale,25040
Prefisso,0364
Fuso orario,UTC+1
Codice ISTAT,017110
Cod. catastale,F375
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 734 GG[3]"
Nome abitanti,monnesi
Patrono,san Pietro e san Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Monno,Monno
Monno – MappaPosizione del comune di Monno nella provincia di Brescia,Monno – MappaPosizione del comune di Monno nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
