Piancogno comune,Piancogno comune.1
,
Piancogno – VedutaTerritorio di bassa collina,Piancogno – VedutaTerritorio di bassa collina
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Alberto Farisè (lista civica “Cambiamenti”) dal 10-6-2024
Territorio,Territorio
Coordinate,45°55′14″N 10°13′34″E
Altitudine,251 m s.l.m.
Superficie,"14,3 km²"
Abitanti,4 793[1] (30-11-2025)
Densità,"335,17 ab./km²"
Frazioni,"Piamborno, Cogno, Annunciata"
Comuni confinanti,"Angolo Terme, Borno, Cividate Camuno, Darfo Boario Terme, Esine, Ossimo"
Altre informazioni,Altre informazioni
Cod. postale,25052
Prefisso,0364
Fuso orario,UTC+1
Codice ISTAT,017206
Cod. catastale,G549
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 568 GG[3]"
Nome abitanti,piancognesi
Patrono,San Vittore il Moro(Pianborno) e San Filippo Neri (Cogno)
Cartografia,Cartografia
Piancogno,Piancogno
Piancogno – MappaPosizione del comune di Piancogno nella provincia di Brescia,Piancogno – MappaPosizione del comune di Piancogno nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
