Borno Comune,Borno Comune.1
,
Borno – VedutaMunicipio in Piazza Giovanni Paolo II,Borno – VedutaMunicipio in Piazza Giovanni Paolo II
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Matteo Rivadossi (lista civica) dall'11-6-2018
Territorio,Territorio
Coordinate,45°56′46″N 10°11′56″E
Altitudine,912 m s.l.m.
Superficie,"30,5 km²"
Abitanti,2 405[1] (30-11-2025)
Densità,"78,85 ab./km²"
Frazioni,Paline
Comuni confinanti,"Angolo Terme, Azzone (BG), Ossimo, Piancogno, Schilpario (BG)"
Altre informazioni,Altre informazioni
Cod. postale,25042
Prefisso,0364
Fuso orario,UTC+1
Codice ISTAT,017022
Cod. catastale,B054
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 612 GG[3]"
Nome abitanti,bornesi
Patrono,San Giovanni Battista
Giorno festivo,domenica più vicina al 24 giugno
PIL procapite,(nominale) 64 000 €
Cartografia,Cartografia
Borno,Borno
Borno – MappaPosizione del comune di Borno nella provincia di Brescia,Borno – MappaPosizione del comune di Borno nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
