Breno comune,Breno comune.1
,
Breno – VedutaPanorama dell'abitato e del castello,Breno – VedutaPanorama dell'abitato e del castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Alessandro Panteghini (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,45°57′31″N 10°18′20″E
Altitudine,343 m s.l.m.
Superficie,"59,94 km²"
Abitanti,4 661[1] (30-11-2025)
Densità,"77,76 ab./km²"
Frazioni,"Astrio, Mezzarro, Pescarzo, Pilo Campogrande"
Comuni confinanti,"Bagolino, Bienno, Borgo Chiese (TN), Braone, Ceto, Cividate Camuno, Losine, Malegno, Niardo, Valdaone (TN)"
Altre informazioni,Altre informazioni
Cod. postale,25043
Prefisso,0364
Fuso orario,UTC+1
Codice ISTAT,017028
Cod. catastale,B149
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 425 GG[3]"
Nome abitanti,brenesi
Patrono,san Valentino
Giorno festivo,14 febbraio
Cartografia,Cartografia
Breno,Breno
Breno – MappaPosizione del comune di Breno nella provincia di Brescia,Breno – MappaPosizione del comune di Breno nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
