Gottolengo comune,Gottolengo comune.1
,
Gottolengo – Veduta,Gottolengo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Daniele Dancelli (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,45°17′34.08″N 10°16′24.24″E
Altitudine,53 m s.l.m.
Superficie,"29,28 km²"
Abitanti,5 050[1] (30-11-2025)
Densità,"172,47 ab./km²"
Frazioni,Solaro
Comuni confinanti,"Gambara, Ghedi, Isorella, Leno, Pavone del Mella, Pralboino"
Altre informazioni,Altre informazioni
Cod. postale,25023
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017080
Cod. catastale,E116
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 479 GG[3]"
Nome abitanti,gottolenghesi
Patrono,san Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Gottolengo,Gottolengo
Gottolengo – MappaPosizione del comune di Gottolengo nella provincia di Brescia,Gottolengo – MappaPosizione del comune di Gottolengo nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
