Padenghe sul Garda comune,Padenghe sul Garda comune.1
,
Padenghe sul Garda – VedutaVeduta dell'abitato e del castello,Padenghe sul Garda – VedutaVeduta dell'abitato e del castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Albino Zuliani (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,45°30′30″N 10°30′59″E
Altitudine,127 m s.l.m.
Superficie,"26,81 km²"
Abitanti,4 924[1] (30-11-2025)
Densità,"183,66 ab./km²"
Comuni confinanti,"Bardolino (VR), Calvagese della Riviera, Desenzano del Garda, Lazise (VR), Lonato del Garda, Moniga del Garda, Sirmione, Soiano del Lago"
Altre informazioni,Altre informazioni
Cod. postale,25080
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017129
Cod. catastale,G213
Targa,BS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 355 GG[3]"
Nome abitanti,padenghini
Cartografia,Cartografia
Padenghe sul Garda,Padenghe sul Garda
Padenghe sul Garda – MappaPosizione del comune di Padenghe sul Garda nella provincia di Brescia,Padenghe sul Garda – MappaPosizione del comune di Padenghe sul Garda nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
