Torbole Casaglia comune,Torbole Casaglia comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Roberta Sisti (Lega) dal 6-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,45°31′N 10°07′E
Altitudine,114 m s.l.m.
Superficie,"13,44 km²"
Abitanti,6 497[1] (30-11-2025)
Densità,"483,41 ab./km²"
Comuni confinanti,"Azzano Mella, Castel Mella, Lograto, Roncadelle, Travagliato"
Altre informazioni,Altre informazioni
Cod. postale,25030
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017186
Cod. catastale,L210
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 410 GG[3]"
Nome abitanti,torbolesi o casagliesi
Patrono,san Urbano I papa (Torbole) e san Filastrio (Casaglia)
Giorno festivo,15 febbraio e 18 luglio
Cartografia,Cartografia
Torbole Casaglia,Torbole Casaglia
Torbole Casaglia – MappaPosizione del comune di Torbole Casaglia nella provincia di Brescia,Torbole Casaglia – MappaPosizione del comune di Torbole Casaglia nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
