Polaveno comune,Polaveno comune.1
,
Polaveno – VedutaParte dell'abitato di Polaveno e della frazione di San Giovanni,Polaveno – VedutaParte dell'abitato di Polaveno e della frazione di San Giovanni
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Aristide Peli (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°40′01.09″N 10°07′53.03″E
Altitudine,568 m s.l.m.
Superficie,"9,2 km²"
Abitanti,2 534[1] (30-11-2025)
Densità,"275,43 ab./km²"
Frazioni,"Gombio, San Giovanni[2]"
Comuni confinanti,"Brione, Gardone Val Trompia, Iseo, Monticelli Brusati, Ome, Sale Marasino, Sarezzo, Sulzano"
Altre informazioni,Altre informazioni
Cod. postale,25060
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017144
Cod. catastale,G779
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 084 GG[4]"
Nome abitanti,polavenesi
Patrono,San Nicola (Polaveno) San Giovanni Battista (San Giovanni) Madonna della Neve (Gombio)
Giorno festivo,6 dicembre (Polaveno) 24 giugno (San Giovanni) 5 agosto (Gombio)
Cartografia,Cartografia
Polaveno,Polaveno
Polaveno – MappaPosizione del comune di Polaveno nella provincia di Brescia,Polaveno – MappaPosizione del comune di Polaveno nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
