Magàsa comune,Magàsa comune.1
,
Magàsa – VedutaVeduta di Magasa da Cima Rest,Magàsa – VedutaVeduta di Magasa da Cima Rest
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Federico Venturini (lista civica) dal 30-3-2010 (3º mandato dal 22-9-2020[1])
Data di istituzione,1º gennaio 1948
Territorio,Territorio
Coordinate,45°47′11.04″N 10°37′44.76″E
Altitudine,976 m s.l.m.
Superficie,"19,11 km²"
Abitanti,104[2] (30-11-2025)
Densità,"5,44 ab./km²"
Frazioni,Cadria
Comuni confinanti,"Bondone (TN), Ledro (TN), Tignale, Tremosine sul Garda, Valvestino"
Altre informazioni,Altre informazioni
Cod. postale,25080
Prefisso,0365
Fuso orario,UTC+1
Codice ISTAT,017098
Cod. catastale,E800
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 596 GG[4]"
Nome abitanti,magasini
Patrono,sant'Antonio abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Magàsa,Magàsa
Magàsa – MappaPosizione del comune di Magasa nella provincia di Brescia,Magàsa – MappaPosizione del comune di Magasa nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
