Tignale comune,Tignale comune.1
,
Tignale – VedutaIl municipio (Gardola),Tignale – VedutaIl municipio (Gardola)
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Daniele Bonassi (lista civica di centro-sinistra) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°44′N 10°43′E
Altitudine,555 m s.l.m.
Superficie,"45,86 km²"
Abitanti,1 156[1] (30-11-2025)
Densità,"25,21 ab./km²"
Frazioni,"Aer, Gardola (sede comunale), Oldesio, Olzano, Piovere, Prabione"
Comuni confinanti,"Brenzone sul Garda (VR), Gargnano, Magasa, Malcesine (VR), Tremosine sul Garda, Valvestino"
Altre informazioni,Altre informazioni
Cod. postale,25080
Prefisso,0365
Fuso orario,UTC+1
Codice ISTAT,017185
Cod. catastale,L169
Targa,BS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona F, 3 003 GG[3]"
Nome abitanti,tignalesi
Giorno festivo,8 settembre
Cartografia,Cartografia
Tignale,Tignale
Tignale – MappaPosizione del comune di Tignale nella provincia di Brescia,Tignale – MappaPosizione del comune di Tignale nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
