Iseo comune,Iseo comune.1
,
Iseo – VedutaPanorama di Iseo,Iseo – VedutaPanorama di Iseo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Riccardo Venchiarutti (lista civica di centro-sinistra Iseo insieme) dal 10-6-2024
Territorio,Territorio
Coordinate,45°39′31″N 10°03′13″E
Altitudine,186 m s.l.m.
Superficie,"28,42 km²"
Abitanti,8 980[1] (30-11-2025)
Densità,"315,97 ab./km²"
Frazioni,"Clusane, Cremignane, Pilzone[2]"
Comuni confinanti,"Capriolo, Corte Franca, Monte Isola, Monticelli Brusati, Paratico, Polaveno, Predore (BG), Provaglio d'Iseo, Sarnico (BG), Sulzano, Tavernola Bergamasca (BG)"
Altre informazioni,Altre informazioni
Cod. postale,25049
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017085
Cod. catastale,E333
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 383 GG[4]"
Nome abitanti,iseani
Patrono,san Vigilio
Giorno festivo,26 settembre
Cartografia,Cartografia
Iseo,Iseo
Iseo – MappaPosizione del comune di Iseo nella provincia di Brescia,Iseo – MappaPosizione del comune di Iseo nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
