Vezza d'Oglio comune,Vezza d'Oglio comune.1
,
Vezza d'Oglio – VedutaVista del comune,Vezza d'Oglio – VedutaVista del comune
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Paolo Guerino Gregorini (lista civica “Vivere Vezza Veramente) dal 10-6-2024
Territorio,Territorio
Coordinate,46°14′20″N 10°23′53″E
Altitudine,1 080 m s.l.m.
Superficie,"54,15 km²"
Abitanti,1 464[1] (30-11-2025)
Densità,"27,04 ab./km²"
Frazioni,"Davena, Grano, Tù"
Comuni confinanti,"Edolo, Grosio (SO), Incudine, Monno, Ponte di Legno, Sondalo (SO), Temù, Vione"
Altre informazioni,Altre informazioni
Cod. postale,25059
Prefisso,0364
Fuso orario,UTC+1
Codice ISTAT,017198
Cod. catastale,L816
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 754 GG[3]"
Nome abitanti,vezzesi
Patrono,san Martino di Tours
Giorno festivo,11 novembre
Cartografia,Cartografia
Vezza d'Oglio,Vezza d'Oglio
Vezza d'Oglio – MappaPosizione del comune di Vezza d'Oglio nella provincia di Brescia,Vezza d'Oglio – MappaPosizione del comune di Vezza d'Oglio nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
