Serle comune,Serle comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Chiara Cherchi (lista civica “Lavorando per Serle”) dal 10-6-2024
Territorio,Territorio
Coordinate,45°34′20″N 10°22′00″E
Altitudine,493 m s.l.m.
Superficie,"18,43 km²"
Abitanti,3 133[1] (30-11-2025)
Densità,"169,99 ab./km²"
Frazioni,"Berana, Biciocca, Bornidolo, Cariadeghe, Case Sopra, Casella, Castello, Chiesa, Cocca, Flina, Gazzolo, Lazzaretto, Magrena, Manzaniga, Ronco, Salvandine, Sorsolo, Tesio Sopra, Tesio Sotto, Valpiana, Villa, Zuzurle"
Comuni confinanti,"Botticino, Caino, Nave, Nuvolento, Nuvolera, Paitone, Vallio Terme"
Altre informazioni,Altre informazioni
Cod. postale,25080
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017178
Cod. catastale,I631
Targa,BS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 919 GG[3]"
Nome abitanti,serlesi
Patrono,san Pietro
Giorno festivo,29 giugno
Cartografia,Cartografia
Serle,Serle
Serle – MappaPosizione del comune di Serle nella provincia di Brescia,Serle – MappaPosizione del comune di Serle nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
