Longhena comune,Longhena comune.1
,
Longhena – VedutaMunicipio,Longhena – VedutaMunicipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Rita Caravaggi (lista civica Longhena libera e democratica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°26′N 10°04′E
Altitudine,93 m s.l.m.
Superficie,"3,47 km²"
Abitanti,565[1] (30-11-2025)
Densità,"162,82 ab./km²"
Comuni confinanti,"Brandico, Corzano, Dello, Mairano"
Altre informazioni,Altre informazioni
Cod. postale,25030
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017093
Cod. catastale,E673
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 410 GG[3]"
Nome abitanti,longhenesi
Patrono,san Dionigi
Giorno festivo,9 ottobre
Cartografia,Cartografia
Longhena,Longhena
Longhena – MappaPosizione del comune di Longhena nella provincia di Brescia,Longhena – MappaPosizione del comune di Longhena nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
