Darfo Boario Terme comune,Darfo Boario Terme comune.1
,
Darfo Boario Terme – VedutaVeduta del centro abitato e del lago Moro dall'alto,Darfo Boario Terme – VedutaVeduta del centro abitato e del lago Moro dall'alto
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Dario Colossi (lista civica) dal 27-6-2022
Territorio,Territorio
Coordinate,45°53′40″N 10°11′12″E
Altitudine,220 m s.l.m.
Superficie,"36,200 km²"
Abitanti,15 959[1] (30-11-2025)
Densità,"440,86 ab./km²"
Frazioni,"Darfo, Corna (sede comunale), Angone, Bessimo, Boario Terme, Capo di Lago, Erbanno, Fucine, Gorzone, Montecchio, Pellalepre[2]"
Comuni confinanti,"Angolo Terme, Artogne, Esine, Gianico, Piancogno, Rogno (BG)"
Altre informazioni,Altre informazioni
Cod. postale,25047
Prefisso,0364
Fuso orario,UTC+1
Codice ISTAT,017065
Cod. catastale,D251
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 510 GG[4]"
Nome abitanti,darfensi
Patrono,santi Faustino e Giovita
Giorno festivo,15 febbraio
Cartografia,Cartografia
Darfo Boario Terme,Darfo Boario Terme
Darfo Boario Terme – MappaPosizione del comune di Darfo Boario Terme nella provincia di Brescia,Darfo Boario Terme – MappaPosizione del comune di Darfo Boario Terme nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
