Pezzaze comune,Pezzaze comune.1
,
Pezzaze – Veduta,Pezzaze – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Marco Richiedei (lista civica “Impegno comune per Pezzaze”) dal 10-6-2024
Territorio,Territorio
Coordinate,45°46′N 10°14′E
Altitudine,620 m s.l.m.
Superficie,"21,49 km²"
Abitanti,1 428[1] (30-11-2025)
Densità,"66,45 ab./km²"
Frazioni,"Mondaro, Pezzazole, Stravignino, Avano, Lavone, Aiale"
Comuni confinanti,"Artogne, Bovegno, Marmentino, Pisogne, Tavernole sul Mella"
Altre informazioni,Altre informazioni
Cod. postale,25060
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017141
Cod. catastale,G529
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 227 GG[3]"
Nome abitanti,pezzazesi
Cartografia,Cartografia
Pezzaze,Pezzaze
Pezzaze – MappaPosizione del comune di Pezzaze nella provincia di Brescia,Pezzaze – MappaPosizione del comune di Pezzaze nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
