Ome comune,Ome comune.1
,
Ome – VedutaMaglio Averoldi,Ome – VedutaMaglio Averoldi
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Alberto Vanoglio (lista civica Ome per passione) dal 27-5-2019
Territorio,Territorio
Coordinate,45°37′38.22″N 10°07′16.91″E
Altitudine,231 m s.l.m.
Superficie,"9,85 km²"
Abitanti,3 099[1] (30-11-2025)
Densità,"314,62 ab./km²"
Comuni confinanti,"Brione, Gussago, Monticelli Brusati, Polaveno, Rodengo-Saiano"
Altre informazioni,Altre informazioni
Cod. postale,25050
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017123
Cod. catastale,G061
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 555 GG[3]"
Nome abitanti,omesi
Patrono,santo Stefano
Giorno festivo,26 dicembre
Cartografia,Cartografia
Ome,Ome
Ome – MappaPosizione del comune di Ome nella provincia di Brescia,Ome – MappaPosizione del comune di Ome nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
