Pontevico comune,Pontevico comune.1
,
Pontevico – VedutaPiazza Giuseppe Mazzini,Pontevico – VedutaPiazza Giuseppe Mazzini
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Luca Bosio (lista civica “Insieme per Pontevico”) dal 10-6-2024
Territorio,Territorio
Coordinate,45°16′20″N 10°05′30″E
Altitudine,55 m s.l.m.
Superficie,"29,21 km²"
Abitanti,7 124[1] (30-11-2025)
Densità,"243,89 ab./km²"
Frazioni,"Bettegno, Campazzo, Chiesuola, Gauzza, Torchiera[2]"
Comuni confinanti,"Alfianello, Bassano Bresciano, Corte de' Frati (CR), Robecco d'Oglio (CR), San Gervasio Bresciano, Verolanuova, Verolavecchia"
Altre informazioni,Altre informazioni
Cod. postale,25026
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017149
Cod. catastale,G859
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 389 GG[4]"
Nome abitanti,pontevichesi
Patrono,san Pancrazio
Giorno festivo,12 maggio
Cartografia,Cartografia
Pontevico,Pontevico
Pontevico – MappaPosizione del comune di Pontevico nella provincia di Brescia,Pontevico – MappaPosizione del comune di Pontevico nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
