Flero comune,Flero comune.1
,
Flero – Veduta,Flero – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Pietro Alberti (Lista Civica centro destra) dal CH.1 s.2 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,45°29′00.6″N 10°10′28.2″E
Altitudine,104 m s.l.m.
Superficie,"9,84 km²"
Abitanti,8 807[1] (30-11-2025)
Densità,"895,02 ab./km²"
Frazioni,"Coler, Fornaci (parte Flerese), Onzato di Flero"
Comuni confinanti,"Brescia, Capriano del Colle, Castel Mella, Poncarale, San Zeno Naviglio"
Altre informazioni,Altre informazioni
Cod. postale,25020
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017072
Cod. catastale,D634
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 410 GG[3]"
Nome abitanti,fleresi
Patrono,Conversione di Paolo
Giorno festivo,25 gennaio
Cartografia,Cartografia
Flero,Flero
Flero – MappaPosizione del comune di Flero nella provincia di Brescia,Flero – MappaPosizione del comune di Flero nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
