Incudine comune,Incudine comune.1
,
Incudine – Veduta,Incudine – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Diego Carli (lista civica) dal 4-10-2021[1]
Territorio,Territorio
Coordinate,46°13′20″N 10°21′30″E
Altitudine,910 m s.l.m.
Superficie,"19,67 km²"
Abitanti,345[2] (30-11-2025)
Densità,"17,54 ab./km²"
Comuni confinanti,"Edolo, Monno, Vezza d'Oglio"
Altre informazioni,Altre informazioni
Cod. postale,25040
Prefisso,0364
Fuso orario,UTC+1
Codice ISTAT,017083
Cod. catastale,E297
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 511 GG[4]"
Nome abitanti,incudinesi
Patrono,san Maurizio
Giorno festivo,22 settembre
Cartografia,Cartografia
Incudine,Incudine
Incudine – MappaPosizione del comune di Incudine nella provincia di Brescia,Incudine – MappaPosizione del comune di Incudine nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
