Berlingo comune,Berlingo comune.1
,
Berlingo – VedutaChiesa di Santa Maria Nascente,Berlingo – VedutaChiesa di Santa Maria Nascente
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Fausto Conforti (Lega) dal 27-5-2019
Territorio,Territorio
Coordinate,45°30′08″N 10°02′29″E
Altitudine,121 m s.l.m.
Superficie,"4,59 km²"
Abitanti,2 752[1] (30-11-2025)
Densità,"599,56 ab./km²"
Frazioni,Berlinghetto
Comuni confinanti,"Lograto, Maclodio, Rovato, Travagliato, Trenzano"
Altre informazioni,Altre informazioni
Cod. postale,25030
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017015
Cod. catastale,A799
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 251 GG[3]"
Nome abitanti,berlinghesi
Patrono,santa Maria Nascente
Giorno festivo,8 settembre
Cartografia,Cartografia
Berlingo,Berlingo
Berlingo – MappaPosizione del comune di Berlingo nella provincia di Brescia,Berlingo – MappaPosizione del comune di Berlingo nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
