Bione comune,Bione comune.1
,
Bione – VedutaBione visto dalla SP 79,Bione – VedutaBione visto dalla SP 79
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Franco Zanotti (Lega) dal 26-5-2014
Territorio,Territorio
Coordinate,45°40′N 10°20′E
Altitudine,600 m s.l.m.
Superficie,"17,29 km²"
Abitanti,1 313[1] (30-11-2025)
Densità,"75,94 ab./km²"
Frazioni,"Pieve, San Faustino, Morcherane, Dossolo, Navezze, Mondarone, Bersenico di Sopra, Bersenico di Sotto"
Comuni confinanti,"Agnosine, Casto, Lumezzane, Preseglie, Vestone"
Altre informazioni,Altre informazioni
Cod. postale,25070
Prefisso,0365
Fuso orario,UTC+1
Codice ISTAT,017019
Cod. catastale,A878
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 067 GG[3]"
Nome abitanti,bionesi
Patrono,san Giovanni
Giorno festivo,27 dicembre
Cartografia,Cartografia
Bione,Bione
Bione – MappaPosizione del comune di Bione nella provincia di Brescia,Bione – MappaPosizione del comune di Bione nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
