Bienno comune,Bienno comune.1
,
Bienno – Veduta,Bienno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Ottavio Bettoni (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,45°56′12″N 10°17′39″E
Altitudine,445 m s.l.m.
Superficie,"30,54 km²"
Abitanti,3 755[1] (30-11-2025)
Densità,"122,95 ab./km²"
Frazioni,Prestine
Comuni confinanti,"Bagolino, Berzo Inferiore, Bovegno, Breno, Cividate Camuno, Collio"
Altre informazioni,Altre informazioni
Cod. postale,25040
Prefisso,0364
Fuso orario,UTC+1
Codice ISTAT,017018
Cod. catastale,A861
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 870 GG[3]"
Nome abitanti,biennesi
Patrono,santi Faustino e Giovita
Giorno festivo,15 febbraio
Cartografia,Cartografia
Bienno,Bienno
Bienno – MappaPosizione del comune di Bienno nella provincia di Brescia,Bienno – MappaPosizione del comune di Bienno nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
