Paitone comune,Paitone comune.1
,
Paitone – VedutaLa chiesa parrocchiale di Santa Giulia,Paitone – VedutaLa chiesa parrocchiale di Santa Giulia
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Corrado Romagnoli (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°33′N 10°24′E
Altitudine,177 m s.l.m.
Superficie,8 km²
Abitanti,2 241[1] (30-11-2025)
Densità,"280,13 ab./km²"
Frazioni,"Marguzzo, Pospesio, Sarzena, Soina, Tesio Località: Petardea Inferiore"
Comuni confinanti,"Gavardo, Nuvolento, Prevalle, Serle, Vallio Terme"
Altre informazioni,Altre informazioni
Cod. postale,25080
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017132
Cod. catastale,G248
Targa,BS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 410 GG[3]"
Nome abitanti,paitonesi
Cartografia,Cartografia
Paitone,Paitone
Paitone – MappaPosizione del comune di Paitone nella provincia di Brescia,Paitone – MappaPosizione del comune di Paitone nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
