Barbariga comune,Barbariga comune.1
,
Barbariga – VedutaCasette,Barbariga – VedutaCasette
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Marco Tinti (lista civica Rinascita Civica Barbariga-Frontignano) dal 10-6-2024
Territorio,Territorio
Coordinate,45°24′N 10°03′E
Altitudine,81 m s.l.m.
Superficie,"11,34 km²"
Abitanti,2 306[1] (30-11-2025)
Densità,"203,35 ab./km²"
Frazioni,Frontignano
Comuni confinanti,"Corzano, Dello, Offlaga, Orzinuovi, Pompiano, San Paolo"
Altre informazioni,Altre informazioni
Cod. postale,25030
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017011
Cod. catastale,A630
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 341 GG[3]"
Nome abitanti,barbarighesi
Patrono,San Vito
Giorno festivo,15 giugno
PIL,(nominale) Barbariga
PIL procapite,(nominale) BA
Cartografia,Cartografia
Barbariga,Barbariga
Barbariga – MappaPosizione del comune di Barbariga nella provincia di Brescia,Barbariga – MappaPosizione del comune di Barbariga nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
