Bedizzole comune,Bedizzole comune.1
,
Bedizzole – VedutaLa parrocchiale di Santo Stefano,Bedizzole – VedutaLa parrocchiale di Santo Stefano
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Giovanni Cottini (centro-sinistra) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°31′N 10°25′E
Altitudine,184 m s.l.m.
Superficie,"26,44 km²"
Abitanti,12 278[1] (30-11-2025)
Densità,"464,37 ab./km²"
Frazioni,"Betoletto, Bussago, Campagnola, Cantrina, Cogozzo, Macesina, Masciaga, Monteroseo, Piazza, Pontenove, Salago, San Rocco, San Tomaso, San Vito, Sedesina, Barazzola, Signorina, Vialarga, Bolognina, Bettoletto, Bagatte, Fenilazzo, Magri, Montescantino"
Comuni confinanti,"Calcinato, Calvagese della Riviera, Lonato del Garda, Mazzano, Nuvolento, Nuvolera, Prevalle"
Altre informazioni,Altre informazioni
Cod. postale,25081
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017014
Cod. catastale,A729
Targa,BS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 399 GG[3]"
Nome abitanti,bedizzolesi
Patrono,"santi Stefano, Ermolao e Acacio Martiri"
Giorno festivo,8 maggio
Cartografia,Cartografia
Bedizzole,Bedizzole
Bedizzole – MappaPosizione del comune di Bedizzole nella provincia di Brescia,Bedizzole – MappaPosizione del comune di Bedizzole nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
