Sellero comune,Sellero comune.1
,
Sellero – VedutaPanorama di Sellero,Sellero – VedutaPanorama di Sellero
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Mattia Peluchetti (centro-sinistra) dal 10-6-2024
Territorio,Territorio
Coordinate,46°03′21″N 10°20′52″E
Altitudine,476 m s.l.m.
Superficie,"14,47 km²"
Abitanti,1 376[1] (30-11-2025)
Densità,"95,09 ab./km²"
Frazioni,Novelle
Comuni confinanti,"Berzo Demo, Capo di Ponte, Cedegolo, Paisco Loveno"
Altre informazioni,Altre informazioni
Cod. postale,25050
Prefisso,0364
Fuso orario,UTC+1
Codice ISTAT,017176
Cod. catastale,I588
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 890 GG[3]"
Nome abitanti,selleresi
Patrono,Santa Maria Assunta san Desiderio
Giorno festivo,15 agosto 23 maggio
Cartografia,Cartografia
Sellero,Sellero
Sellero – MappaPosizione del comune di Sellero nella provincia di Brescia,Sellero – MappaPosizione del comune di Sellero nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
