Lograto comune,Lograto comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Gianandrea Telò (lista civica di centro-sinistra Uniti per Lograto) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,45°29′N 10°03′E
Altitudine,113 m s.l.m.
Superficie,"12,43 km²"
Abitanti,3 856[1] (30-11-2025)
Densità,"310,22 ab./km²"
Frazioni,Navate
Comuni confinanti,"Azzano Mella, Berlingo, Maclodio, Mairano, Torbole Casaglia, Travagliato"
Altre informazioni,Altre informazioni
Cod. postale,25030
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017091
Cod. catastale,E654
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 410 GG[3]"
Nome abitanti,logratesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Lograto,Lograto
Lograto – MappaPosizione del comune di Lograto nella provincia di Brescia,Lograto – MappaPosizione del comune di Lograto nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
