Villa Carcina comune,Villa Carcina comune.1
,
Villa Carcina – VedutaPanorama del paese,Villa Carcina – VedutaPanorama del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Moris Cadei (lista civica Patto per Villa Carcina – Cadei sindaco) dal 26-5-2019
Territorio,Territorio
Coordinate,45°38′N 10°12′E
Altitudine,241 m s.l.m.
Superficie,"14,22 km²"
Abitanti,10 730[1] (30-11-2025)
Densità,"754,57 ab./km²"
Frazioni,"Cailina, Carcina, Cogozzo, Pregno e Villa"
Comuni confinanti,"Brione, Concesio, Gussago, Lumezzane, Sarezzo"
Altre informazioni,Altre informazioni
Cod. postale,25069
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017199
Cod. catastale,L919
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 554 GG[3]"
Nome abitanti,villacarcinesi[4]
Patrono,Sant'Antonio abate - (Cogozzo)  san Michele Arcangelo - (Cailina) sant'Antonio da Padova - (Pregno)  sant'Emiliano e Tirso - (Villa)  san Giacomo Maggiore - (Carcina)
Cartografia,Cartografia
Villa Carcina,Villa Carcina
Villa Carcina – MappaPosizione del comune di Villa Carcina nella provincia di Brescia,Villa Carcina – MappaPosizione del comune di Villa Carcina nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
