Pertica Alta comune,Pertica Alta comune.1
,
"Pertica Alta – VedutaLivemmo, sede comunale di Pertica Alta","Pertica Alta – VedutaLivemmo, sede comunale di Pertica Alta"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Giovanmaria Flocchini (Lega Nord) dall'8-6-2009
Territorio,Territorio
Coordinate,45°45′N 10°21′E
Altitudine,900 m s.l.m.
Superficie,"20,92 km²"
Abitanti,549[1] (30-11-2025)
Densità,"26,24 ab./km²"
Frazioni,"Lavino, Navono, Noffo, Odeno, Livemmo (sede comunale), Belprato"
Comuni confinanti,"Casto, Collio, Lodrino, Marmentino, Mura, Pertica Bassa, Vestone"
Altre informazioni,Altre informazioni
Cod. postale,25070
Prefisso,0365
Fuso orario,UTC+1
Codice ISTAT,017139
Cod. catastale,G474
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 496 GG[3]"
Nome abitanti,Perticaroli
Cartografia,Cartografia
Pertica Alta,Pertica Alta
Pertica Alta – MappaPosizione del comune di Pertica Alta nella provincia di Brescia,Pertica Alta – MappaPosizione del comune di Pertica Alta nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
