Pavone del Mella comune,Pavone del Mella comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Mariateresa Vivaldini (centrodestra) dal 26-5-2014
Territorio,Territorio
Coordinate,45°18′03″N 10°12′31″E
Altitudine,54 m s.l.m.
Superficie,"11,61 km²"
Abitanti,2 721[1] (30-11-2025)
Densità,"234,37 ab./km²"
Comuni confinanti,"Cigole, Gottolengo, Leno, Milzano, Pralboino"
Altre informazioni,Altre informazioni
Cod. postale,25020
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017137
Cod. catastale,G391
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 479 GG[3]"
Nome abitanti,pavonesi
Patrono,san Benedetto
Giorno festivo,21 marzo
Cartografia,Cartografia
Pavone del Mella,Pavone del Mella
Pavone del Mella – MappaPosizione del comune di Pavone del Mella nella provincia di Brescia,Pavone del Mella – MappaPosizione del comune di Pavone del Mella nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
