Carpenedolo comune,Carpenedolo comune.1
,
Carpenedolo – VedutaPanorama,Carpenedolo – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Luca Franzoni (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°21′55.44″N 10°25′56.28″E
Altitudine,78 m s.l.m.
Superficie,"29,84 km²"
Abitanti,13 038[1] (30-11-2025)
Densità,"436,93 ab./km²"
Frazioni,"Cornali, Gerole, Lame, Lametta, Livelli, Ravere, Sant'Apollonia, Taglie, Tezze, Uve Bianche"
Comuni confinanti,"Acquafredda, Calvisano, Castel Goffredo (MN), Castiglione delle Stiviere (MN), Montichiari"
Altre informazioni,Altre informazioni
Cod. postale,25013
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017039
Cod. catastale,B817
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 399 GG[3]"
Nome abitanti,carpenedolesi
Patrono,san Bartolomeo
Giorno festivo,24 agosto
Cartografia,Cartografia
Carpenedolo,Carpenedolo
Carpenedolo – MappaPosizione del comune di Carpenedolo nella provincia di Brescia,Carpenedolo – MappaPosizione del comune di Carpenedolo nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
