Pontoglio comune,Pontoglio comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Alessandro Pozzi (Lega) dal 4-10-2021
Territorio,Territorio
Coordinate,45°34′N 9°51′E
Altitudine,155 m s.l.m.
Superficie,"11,09 km²"
Abitanti,7 002[1] (30-11-2025)
Densità,"631,38 ab./km²"
Comuni confinanti,"Chiari, Cividate al Piano (BG), Palazzolo sull'Oglio, Palosco (BG), Urago d'Oglio"
Altre informazioni,Altre informazioni
Cod. postale,25037
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017150
Cod. catastale,G869
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 383 GG[3]"
Nome abitanti,Pontogliesi
Patrono,"santa Maria Assunta, sant'Antonio"
Giorno festivo,"15 agosto, 17 gennaio"
Cartografia,Cartografia
Pontoglio,Pontoglio
Pontoglio – MappaPosizione del comune di Pontoglio nella provincia di Brescia,Pontoglio – MappaPosizione del comune di Pontoglio nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
