Brione comune,Brione comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Antonella Montini (lista civica Insieme per Brione) dal 25-5-2014
Territorio,Territorio
Coordinate,45°38′25.03″N 10°09′20.42″E
Altitudine,614 m s.l.m.
Superficie,"6,9 km²"
Abitanti,760[1] (30-11-2025)
Densità,"110,14 ab./km²"
Frazioni,"Aquilini, Barche, San Zenone, Vesalla, Silviane, Gazzane"
Comuni confinanti,"Gussago, Ome, Polaveno, Sarezzo, Villa Carcina"
Altre informazioni,Altre informazioni
Cod. postale,25060
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017030
Cod. catastale,B184
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 784 GG[3]"
Nome abitanti,brionesi
Patrono,San Zenone
Giorno festivo,12 aprile
Cartografia,Cartografia
Brione,Brione
Brione – MappaPosizione del comune di Brione nella provincia di Brescia,Brione – MappaPosizione del comune di Brione nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
