Maclodio comune,Maclodio comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Simone Zanetti (FdI) dal 27-5-2019
Territorio,Territorio
Coordinate,45°28′49.54″N 10°02′24.39″E
Altitudine,109 m s.l.m.
Superficie,"5,1 km²"
Abitanti,1 478[1] (30-11-2025)
Densità,"289,8 ab./km²"
Comuni confinanti,"Berlingo, Brandico, Lograto, Mairano, Trenzano"
Altre informazioni,Altre informazioni
Cod. postale,25030
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017097
Cod. catastale,E787
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 410 GG[3]"
Nome abitanti,Maclodiesi
Patrono,San Zenone
Giorno festivo,9 dicembre
Cartografia,Cartografia
Maclodio,Maclodio
Maclodio – MappaPosizione del comune di Maclodio nella provincia di Brescia,Maclodio – MappaPosizione del comune di Maclodio nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
