Soiano del Lago comune,Soiano del Lago comune.1
Comune di Soiano del Lago,Comune di Soiano del Lago
,
Soiano del Lago – VedutaIl castello,Soiano del Lago – VedutaIl castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Alessandro Spaggiari (lista civica Soiano Insieme) dall'11-6-2018
Territorio,Territorio
Coordinate,45°31′40.01″N 10°30′45.65″E
Altitudine,345 m s.l.m.
Superficie,"5,67 km²"
Abitanti,1 941[1] (30-11-2025)
Densità,"342,33 ab./km²"
Frazioni,Chizzoline[2]
Comuni confinanti,"Calvagese della Riviera, Manerba del Garda, Moniga del Garda, Padenghe sul Garda, Polpenazze del Garda"
Altre informazioni,Altre informazioni
Cod. postale,25080
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017180
Cod. catastale,I782
Targa,BS
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 355 GG[4]"
Nome abitanti,soianesi
Patrono,San Michele
Giorno festivo,29 settembre
PIL procapite,(nominale) € 22087
Cartografia,Cartografia
Soiano del Lago,Soiano del Lago
Soiano del Lago – MappaPosizione del comune di Soiano del Lago nella provincia di Brescia,Soiano del Lago – MappaPosizione del comune di Soiano del Lago nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
