Visano comune,Visano comune.1
,
Visano – Veduta,Visano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Paolo Panizza (lista civica “Visano - Realizzare insieme”) dal 10-6-2024
Territorio,Territorio
Coordinate,45°19′09.48″N 10°22′24.24″E
Altitudine,60 m s.l.m.
Superficie,"11,22 km²"
Abitanti,2 026[1] (30-11-2025)
Densità,"180,57 ab./km²"
Comuni confinanti,"Acquafredda, Calvisano, Isorella, Remedello"
Altre informazioni,Altre informazioni
Cod. postale,25010
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017203
Cod. catastale,M070
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 396 GG[3]"
Nome abitanti,visanesi
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Visano,Visano
Visano – MappaPosizione del comune di Visano nella provincia di Brescia,Visano – MappaPosizione del comune di Visano nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
