Provincia di Brescia provincia,Provincia di Brescia provincia.1
,
"Provincia di Brescia – VedutaPalazzo Broletto, sede della Provincia, 2021","Provincia di Brescia – VedutaPalazzo Broletto, sede della Provincia, 2021"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Amministrazione,Amministrazione
Capoluogo,Brescia
Presidente,Emanuele Moraschini (indipendente di centro-destra) dal 29-1-2023
Data di istituzione,23 ottobre 1859
Territorio,Territorio
Coordinate del capoluogo,45°32′20″N 10°13′10″E
Superficie,"4 785,62 km²"
Abitanti,1 271 457[1] (30-11-2025)
Densità,"265,68 ab./km²"
Comuni,205 comuni
Province confinanti,"Bergamo, Cremona, Mantova, Sondrio, Trento (Trentino-Alto Adige), Verona (Veneto)"
Altre informazioni,Altre informazioni
Cod. postale,25121 - 25136 25010 - 25089
Prefisso,"030, 0364, 0365, 035"
Fuso orario,UTC+1
ISO 3166-2,IT-BS
Codice ISTAT,017
Targa,BS
Cartografia,Cartografia
Provincia di Brescia – Localizzazione,Provincia di Brescia – Localizzazione
Provincia di Brescia – MappaPosizione della provincia di Brescia all'interno della Lombardia,Provincia di Brescia – MappaPosizione della provincia di Brescia all'interno della Lombardia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
