Villanuova sul Clisi comune,Villanuova sul Clisi comune.1
,
Villanuova sul Clisi – VedutaChiesa del Sacro Cuore di Gesù,Villanuova sul Clisi – VedutaChiesa del Sacro Cuore di Gesù
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Caterina Dusi (lista civica “Destinazione Comune”) dal 10-6-2024
Territorio,Territorio
Coordinate,45°36′N 10°27′E
Altitudine,216 m s.l.m.
Superficie,"9,1 km²"
Abitanti,5 922[1] (30-11-2025)
Densità,"650,77 ab./km²"
Comuni confinanti,"Gavardo, Roè Volciano, Sabbio Chiese, Vobarno"
Altre informazioni,Altre informazioni
Cod. postale,25089
Prefisso,0365
Fuso orario,UTC+1
Codice ISTAT,017201
Cod. catastale,L995
Targa,BS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 511 GG[3]"
Nome abitanti,villanovesi
Patrono,san Matteo
Giorno festivo,21 settembre
Cartografia,Cartografia
Villanuova sul Clisi,Villanuova sul Clisi
Villanuova sul Clisi – MappaPosizione del comune di Villanuova sul Clisi nella provincia di Brescia,Villanuova sul Clisi – MappaPosizione del comune di Villanuova sul Clisi nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
