Montirone comune,Montirone comune.1
,
Montirone – VedutaVista del palazzo Lechi,Montirone – VedutaVista del palazzo Lechi
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Filippo Spagnoli (centro-destra) dal 4-10-2021
Territorio,Territorio
Coordinate,45°26′50″N 10°13′47″E
Altitudine,100 m s.l.m.
Superficie,"10,52 km²"
Abitanti,5 158[1] (30-11-2025)
Densità,"490,3 ab./km²"
Frazioni,"7 (Belleguardello, Belleguardo, Casenuove e Paradisino, Campagna, Feniletto, Giardino, Zona artigianale)"
Comuni confinanti,"Bagnolo Mella, Borgosatollo, Ghedi, Poncarale"
Altre informazioni,Altre informazioni
Cod. postale,25010
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017114
Cod. catastale,F680
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 410 GG[3]"
Nome abitanti,montironesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Montirone,Montirone
Montirone – MappaPosizione del comune di Montirone nella provincia di Brescia,Montirone – MappaPosizione del comune di Montirone nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
