San Zeno Naviglio comune,San Zeno Naviglio comune.1
,
San Zeno Naviglio – VedutaMunicipio,San Zeno Naviglio – VedutaMunicipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Marco Ferretti (centrodestra) dall'11-6-2018 (2º mandato dal 15-5-2023)
Data di istituzione,1859
Territorio,Territorio
Coordinate,45°29′28″N 10°13′03″E
Altitudine,112 m s.l.m.
Superficie,"6,25 km²"
Abitanti,4 732[1] (30-11-2025)
Densità,"757,12 ab./km²"
Frazioni,"Aspes, Caselle, Garza, Sörèc"
Comuni confinanti,"Borgosatollo, Brescia, Flero, Poncarale"
Altre informazioni,Altre informazioni
Cod. postale,25010
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017173
Cod. catastale,I412
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 350 GG[3]"
Nome abitanti,sanzenesi
Patrono,san Zenone
Giorno festivo,9 dicembre
Cartografia,Cartografia
San Zeno Naviglio,San Zeno Naviglio
San Zeno Naviglio – MappaPosizione del comune di San Zeno Naviglio nella provincia di Brescia,San Zeno Naviglio – MappaPosizione del comune di San Zeno Naviglio nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
