Cividate Camuno comune,Cividate Camuno comune.1
,
Cividate Camuno – Veduta,Cividate Camuno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,"Alessandro Francesetti (lista civica ""Cividate che vorrei"") dal 10-6-2024"
Territorio,Territorio
Coordinate,45°56′36″N 10°16′42″E
Altitudine,275 m s.l.m.
Superficie,"3,31 km²"
Abitanti,2 686[1] (30-11-2025)
Densità,"811,48 ab./km²"
Comuni confinanti,"Berzo Inferiore, Bienno, Breno, Esine, Malegno, Ossimo, Piancogno"
Altre informazioni,Altre informazioni
Cod. postale,25040
Prefisso,0364
Fuso orario,UTC+1
Codice ISTAT,017055
Cod. catastale,C760
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 597 GG[3]"
Nome abitanti,cividatesi
Patrono,santo Stefano
Giorno festivo,26 dicembre
Cartografia,Cartografia
Cividate Camuno,Cividate Camuno
Cividate Camuno – MappaPosizione del comune di Cividate Camuno nella provincia di Brescia,Cividate Camuno – MappaPosizione del comune di Cividate Camuno nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
