Roccafranca comune,Roccafranca comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Marco Franzelli (Lega) dal 27-5-2019
Territorio,Territorio
Coordinate,45°28′N 9°55′E
Altitudine,117 m s.l.m.
Superficie,19 km²
Abitanti,4 981[1] (30-11-2025)
Densità,"262,16 ab./km²"
Frazioni,"Ludriano, San Fermo"
Comuni confinanti,"Chiari, Comezzano-Cizzago, Orzinuovi, Orzivecchi, Pumenengo (BG), Rudiano, Soncino (CR), Torre Pallavicina (BG)"
Altre informazioni,Altre informazioni
Cod. postale,25030
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017162
Cod. catastale,H410
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 251 GG[3]"
Nome abitanti,roccafranchesi
Patrono,"santi Gervasio e Protasio, inoltre santa Chiara, san Vincenzo e san Vittorino (celebrati ogni cinque anni in occasione della tradizionale sagra dei ""Fistù"", l'ultima edizione si è svolta a maggio 2025)[4]"
Cartografia,Cartografia
Roccafranca,Roccafranca
Roccafranca – MappaPosizione del comune di Roccafranca nella provincia di Brescia,Roccafranca – MappaPosizione del comune di Roccafranca nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
