Dello comune,Dello comune.1
,
Dello – VedutaMunicipio,Dello – VedutaMunicipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Riccardo Canini (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,45°25′10″N 10°04′30″E
Altitudine,84 m s.l.m.
Superficie,"23,32 km²"
Abitanti,5 697[1] (30-11-2025)
Densità,"244,3 ab./km²"
Frazioni,"Boldeniga, Corticelle Pieve, Quinzanello"
Comuni confinanti,"Azzano Mella, Bagnolo Mella, Barbariga, Capriano del Colle, Corzano, Longhena, Mairano, Offlaga"
Altre informazioni,Altre informazioni
Cod. postale,25020
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017066
Cod. catastale,D270
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 340 GG[3]"
Nome abitanti,dellesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Dello,Dello
Dello – MappaPosizione del comune di Dello nella provincia di Brescia,Dello – MappaPosizione del comune di Dello nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
