Erbusco comune,Erbusco comune.1
,
Erbusco – VedutaVista sui vigneti entrando ad Erbusco,Erbusco – VedutaVista sui vigneti entrando ad Erbusco
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Mauro Cavalleri (lista civica Erbusco futura) dal 10-6-2024
Territorio,Territorio
Coordinate,45°36′N 9°58′E
Altitudine,236 m s.l.m.
Superficie,"16,24 km²"
Abitanti,8 851[1] (30-11-2025)
Densità,"545,01 ab./km²"
Frazioni,"Villa, Zocco, Villa Pedergnano e Spina"
Comuni confinanti,"Adro, Cazzago San Martino, Coccaglio, Cologne, Palazzolo sull'Oglio, Rovato"
Altre informazioni,Altre informazioni
Cod. postale,25030
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017069
Cod. catastale,D421
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 706 GG[3]"
Nome abitanti,erbuschesi
Patrono,san Bonifacio e san Gottardo
PIL procapite,(nominale) 35.234€
Cartografia,Cartografia
Erbusco,Erbusco
Erbusco – MappaPosizione del comune di Erbusco nella provincia di Brescia,Erbusco – MappaPosizione del comune di Erbusco nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
