Nuvolento comune,Nuvolento comune.1
,
Nuvolento – VedutaIl palazzo del Municipio,Nuvolento – VedutaIl palazzo del Municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Pietro Pagliardi (lista civica “Obiettivo Nuvolento”) dal 10-6-2024
Territorio,Territorio
Coordinate,45°32′40″N 10°23′06″E
Altitudine,176 m s.l.m.
Superficie,"7,45 km²"
Abitanti,3 962[1] (30-11-2025)
Densità,"531,81 ab./km²"
Comuni confinanti,"Bedizzole, Nuvolera, Paitone, Prevalle, Serle"
Altre informazioni,Altre informazioni
Cod. postale,25080
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017119
Cod. catastale,F989
Targa,BS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 494 GG[3]"
Nome abitanti,nuvolentesi
Patrono,Santa Maria della Neve
Giorno festivo,5 agosto
Cartografia,Cartografia
Nuvolento,Nuvolento
Nuvolento – MappaPosizione del comune di Nuvolento nella provincia di Brescia,Nuvolento – MappaPosizione del comune di Nuvolento nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
