Gussago comune,Gussago comune.1
,
"Gussago – VedutaPanoramica della zona centrale, con il Municipio e la Prepositurale di S. Maria Assunta","Gussago – VedutaPanoramica della zona centrale, con il Municipio e la Prepositurale di S. Maria Assunta"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Giovanni Coccoli (lista civica di centro-sinistra) dal 26-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,45°35′25.41″N 10°09′08.89″E
Altitudine,190 m s.l.m.
Superficie,"25,09 km²"
Abitanti,16 686[1] (30-11-2025)
Densità,"665,05 ab./km²"
Frazioni,"Casaglio, Civine, Mandolossa, Navezze, Ronco, Sale"
Comuni confinanti,"Brescia, Brione, Castegnato, Cellatica, Concesio, Ome, Rodengo-Saiano, Roncadelle, Villa Carcina"
Altre informazioni,Altre informazioni
Cod. postale,25064
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017081
Cod. catastale,E271
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 410 GG[3]"
Nome abitanti,gussaghesi
Patrono,"santa Maria Assunta e san Lorenzo (Gussago, Piedeldosso, Villa); santo Stefano (Sale, Mandolossa); santa Croce (Croce); san Vincenzo (Navezze); san Girolamo (Civine); san Zenone (Ronco)"
Cartografia,Cartografia
Gussago,Gussago
Gussago – MappaPosizione del comune di Gussago nella provincia di Brescia,Gussago – MappaPosizione del comune di Gussago nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
